fecha,provincia,departamento,carneros,ovejas,borregos,capones,cordero/as,total_ovinos,kilos_lana,finura,rinde,humedad,cant_lluvia,tem_max,temp_media,temp_min
2012-12-31,CHUBUT,BIEDMA,5785,93378,30168,48447,16071,193849,649130.0,19.8,58.06,58.4,46.4,18.1,12.4,6.7
2013-12-31,CHUBUT,BIEDMA,5376,82998,25341,47350,26832,187897,620176.0,19.6,56.68,64.7,226.5,19.9,14.2,8.8
2014-12-31,CHUBUT,BIEDMA,4785,82706,29379,35155,29900,181925,649130.0,20.1,61.19,60.5,331.3,20.6,14.7,9.2
2015-12-31,CHUBUT,BIEDMA,4440,89262,29663,35437,32343,191145,672480.0,18.58,58.18,58.7,114.2,22.2,15.8,10.2
2016-12-31,CHUBUT,BIEDMA,4452,82295,33662,33470,21326,175205,653800.0,17.99,59.93,57.5,88.9,25.2,18.6,12.9
2017-12-31,CHUBUT,BIEDMA,4688,87179,33148,33947,20900,179862,653800.0,19.73,58.95,55.8,291.9,19.1,13.6,8.4
2018-12-31,CHUBUT,BIEDMA,4767,86473,36233,31347,22289,181109,653800.0,18.86,58.89,56.3,99.0,21.0,14.8,9.5
2019-12-31,CHUBUT,BIEDMA,4887,84400,31784,34032,23424,178527,629189.1,18.95,57.81,54.1,295.5,18.7,13.6,8.7
2020-12-31,CHUBUT,BIEDMA,3084,82806,29134,33727,25394,174145,630450.0,19.1,58.71,58.3,191.4,20.5,14.6,9.2
2006-12-31,CHUBUT,CUSHAMEN,6906,141299,40828,31911,43659,264603,1155000.0,19.83,63.14,62.0,570.4,13.1,7.4,1.6
2007-12-31,CHUBUT,CUSHAMEN,6977,142754,41249,32240,44109,267329,1260000.0,20.49,62.35,59.8,475.2,14.3,8.1,1.5
2008-12-31,CHUBUT,CUSHAMEN,8180,149189,41669,51128,37589,287755,1134000.0,17.95,62.96,52.35,609.0,19.85,12.2,4.1
2009-12-31,CHUBUT,CUSHAMEN,7191,130124,30369,31453,44013,243150,898800.0,19.83,63.6,62.03,2810.6,16.27,9.57,3.5
2010-12-31,CHUBUT,CUSHAMEN,6649,128141,30782,31756,40774,238102,898800.0,20.36,64.07,61.0,3247.6,16.5,9.62,3.6
2011-12-31,CHUBUT,CUSHAMEN,6937,134263,36860,32524,39295,249879,886725.0,19.03,62.96,57.47,3243.0,17.14,10.22,4.0
2012-12-31,CHUBUT,CUSHAMEN,6758,126283,35504,27867,30258,226670,729750.0,18.61,62.22,61.43,7288.1,16.0,9.87,4.56
2013-12-31,CHUBUT,CUSHAMEN,12516,125655,31127,22615,33934,225847,697200.0,21.0,64.48,58.22,6156.7,18.9,11.88,5.49
2014-12-31,CHUBUT,CUSHAMEN,6525,120803,33531,29759,40184,230802,729750.0,20.48,63.3,59.1,5763.6,17.03,10.46,4.62
2015-12-31,CHUBUT,CUSHAMEN,5764,115205,30865,26410,36446,214690,756000.0,18.33,62.18,48.54,6809.1,18.92,11.99,5.68
2016-12-31,CHUBUT,CUSHAMEN,5920,113136,30649,28942,46037,224684,735000.0,19.86,63.67,60.15,2876.7,17.12,10.46,4.5
2017-12-31,CHUBUT,CUSHAMEN,5198,106723,31589,28842,46907,219259,735000.0,19.67,63.2,44.74,5804.2,16.5,9.93,4.2
2018-12-31,CHUBUT,CUSHAMEN,6510,114304,33488,29440,46476,230218,735000.0,18.59,62.6,59.36,2633.5,19.76,12.4,5.14
2019-12-31,CHUBUT,CUSHAMEN,8292,124242,32843,28734,43428,237539,707332.5,19.99,64.07,50.48,1328.5,17.4,10.72,3.7
2020-12-31,CHUBUT,CUSHAMEN,5385,124862,33570,28086,52545,244448,708750.0,19.5,64.01,46.48,525.6,25.22,15.62,5.92
2009-12-31,CHUBUT,FLORENTINO AMEGHINO,12056,150454,69972,59835,51674,343991,1474032.0,19.47,59.79,48.4,137.7,20.4,12.9,5.7
2010-12-31,CHUBUT,FLORENTINO AMEGHINO,11907,169295,65937,60837,42462,350438,1474032.0,19.93,62.41,49.0,155.4,16.9,10.4,4.3
2011-12-31,CHUBUT,FLORENTINO AMEGHINO,11347,153875,60216,58589,38162,322189,1454229.0,19.6,58.86,58.7,103.6,17.4,11.0,4.6
2012-12-31,CHUBUT,FLORENTINO AMEGHINO,10531,142512,56336,49490,52955,311824,1196790.0,19.07,59.01,54.9,210.8,18.7,12.2,5.7
2013-12-31,CHUBUT,FLORENTINO AMEGHINO,9623,131947,59697,42035,41337,284639,1143408.0,19.81,58.44,55.1,135.5,18.3,11.8,5.2
2014-12-31,CHUBUT,FLORENTINO AMEGHINO,9623,128662,54128,39480,50249,282142,1196790.0,20.45,60.73,52.9,174.1,16.9,10.7,4.3
2016-12-31,CHUBUT,FLORENTINO AMEGHINO,11974,159866,63418,47987,25964,309209,1205400.0,18.75,60.54,54.3,155.7,20.3,14.2,8.25
2017-12-31,CHUBUT,FLORENTINO AMEGHINO,12216,157416,59969,46044,52072,327717,1205400.0,19.84,59.5,52.6,1010.8,20.0,13.8,8.1
2018-12-31,CHUBUT,FLORENTINO AMEGHINO,11465,152819,61672,43911,46348,316215,1205400.0,19.04,58.93,51.1,283.4,19.0,12.5,6.35
2019-12-31,CHUBUT,FLORENTINO AMEGHINO,12092,163230,66071,47475,40992,329860,1160025.3,18.92,61.7,53.5,397.0,18.95,12.6,6.4
2020-12-31,CHUBUT,FLORENTINO AMEGHINO,7324,165006,57199,43199,45253,317981,1162350.0,19.94,58.79,48.6,355.8,14.8,9.5,4.35
2005-12-31,CHUBUT,FUTALEUFU,6314,100412,30459,21701,26274,185160,760960.0,21.45,64.4,47.0,175.2,19.95,12.05,3.55
2006-12-31,CHUBUT,FUTALEUFU,6650,105759,32080,22856,27673,195018,721600.0,19.92,62.66,64.9,1392.0,17.2,9.9,2.45
2007-12-31,CHUBUT,FUTALEUFU,5129,81560,24740,17626,21341,150396,787200.0,20.82,62.99,62.3,654.4,16.45,9.5,2.35
2008-12-31,CHUBUT,FUTALEUFU,5639,90494,30119,24634,28237,179123,708480.0,21.22,63.71,13.1,1229.6,18.85,11.05,2.7
2009-12-31,CHUBUT,FUTALEUFU,5155,85752,28633,24140,26350,170030,561536.0,21.2,61.95,67.8,1159.4,15.23,8.73,2.37
2010-12-31,CHUBUT,FUTALEUFU,5781,91721,30329,24897,21252,173980,561536.0,20.37,63.09,68.55,1960.3,15.12,8.48,2.02
2011-12-31,CHUBUT,FUTALEUFU,5405,94013,33600,22878,27973,183869,553992.0,19.61,65.45,64.15,1367.6,16.48,9.4,2.6
2012-12-31,CHUBUT,FUTALEUFU,5713,91189,32426,23200,27788,180316,455920.0,18.14,63.07,65.3,4995.1,15.21,9.26,3.36
2013-12-31,CHUBUT,FUTALEUFU,5210,89861,32255,21340,25789,174455,435584.0,20.16,62.56,69.95,4574.2,16.79,10.09,3.6
2014-12-31,CHUBUT,FUTALEUFU,5126,85641,26607,20764,26403,164541,455920.0,21.55,62.93,69.6,4303.5,15.13,9.04,3.3
2015-12-31,CHUBUT,FUTALEUFU,5218,86528,23929,19766,25085,160526,472320.0,20.94,63.1,53.2,4592.8,16.55,10.35,4.33
2016-12-31,CHUBUT,FUTALEUFU,4568,77084,23247,15616,17473,137988,459200.0,18.75,64.05,69.2,2587.4,15.82,9.25,3.25
2017-12-31,CHUBUT,FUTALEUFU,4313,74028,24502,15556,16234,134633,459200.0,19.73,63.04,49.1,3459.0,17.13,10.87,4.87
2018-12-31,CHUBUT,FUTALEUFU,4096,68134,22201,13799,16000,124230,459200.0,21.2,64.01,49.85,1043.2,20.95,13.73,6.28
2019-12-31,CHUBUT,FUTALEUFU,3956,64916,20087,12651,16165,117775,441914.4,19.67,62.75,61.5,817.8,20.97,13.0,4.4
2020-12-31,CHUBUT,FUTALEUFU,2044,65375,22621,12477,15472,117989,442800.0,19.45,63.64,45.57,1089.2,16.07,9.2,2.57
2006-12-31,CHUBUT,GAIMAN,4550,139321,23764,37956,28995,234586,1273800.0,19.98,53.38,36.8,7.1,25.3,17.8,9.3
2007-12-31,CHUBUT,GAIMAN,5051,154633,26375,42128,32182,260369,1389600.0,20.71,55.6,50.0,58.1,17.5,10.0,2.4
2008-12-31,CHUBUT,GAIMAN,5292,112497,32493,33649,28886,212817,1250640.0,20.76,53.69,52.13,174.9,21.03,13.3,5.93
2009-12-31,CHUBUT,GAIMAN,5816,123241,31526,33769,29740,224092,991248.0,21.1,53.93,48.0,215.4,20.6,13.17,6.27
2010-12-31,CHUBUT,GAIMAN,5553,129160,28238,42120,29240,234311,991248.0,19.8,53.7,48.8,221.9,22.0,14.57,7.27
2011-12-31,CHUBUT,GAIMAN,5584,132221,27090,42712,27345,234952,977931.0,21.82,55.88,46.9,220.2,20.73,13.63,6.43
2012-12-31,CHUBUT,GAIMAN,5977,123977,20057,45528,23647,219186,804810.0,18.47,56.31,48.93,362.8,20.57,13.17,5.93
2013-12-31,CHUBUT,GAIMAN,5802,138573,20059,45098,20514,230046,768912.0,18.89,55.74,56.33,448.5,20.7,13.27,6.13
2014-12-31,CHUBUT,GAIMAN,7647,143403,21683,44605,27900,245238,804810.0,21.14,55.43,57.6,413.8,20.47,13.07,5.83
2015-12-31,CHUBUT,GAIMAN,8503,161928,25067,44956,28410,268864,833760.0,20.58,56.05,54.37,193.3,21.73,14.17,6.47
2016-12-31,CHUBUT,GAIMAN,8368,166144,27932,47610,33646,283700,810600.0,21.47,53.63,64.0,359.7,22.9,14.13,5.93
2017-12-31,CHUBUT,GAIMAN,8272,170790,28217,47586,37463,292328,810600.0,20.85,55.26,45.33,452.4,20.75,12.8,5.32
2018-12-31,CHUBUT,GAIMAN,7991,178598,27915,46278,38481,299263,810600.0,20.43,54.97,46.97,186.0,23.6,14.86,6.36
2019-12-31,CHUBUT,GAIMAN,8309,193501,29047,48760,45825,325442,780086.7,21.01,55.69,52.2,302.4,20.82,12.28,4.4
2020-12-31,CHUBUT,GAIMAN,5295,197372,27275,46137,42834,318913,781650.0,20.88,54.45,49.7,173.6,23.14,13.9,5.3
2012-12-31,CHUBUT,LANGUIÑEO,8550,141153,52659,54014,45432,301808,988290.0,20.15,60.69,50.3,314.7,19.8,11.4,3.0
2013-12-31,CHUBUT,LANGUIÑEO,8875,130228,45552,42406,21887,248948,944208.0,19.94,61.19,53.35,207.4,22.15,13.55,4.9
2015-12-31,CHUBUT,LANGUIÑEO,9928,116399,44518,44570,42894,258309,1023840.0,22.48,61.62,48.1,13.5,21.8,13.0,3.4
2016-12-31,CHUBUT,LANGUIÑEO,7588,112547,47178,49593,17445,234351,995400.0,21.27,60.55,66.4,374.6,14.5,7.77,1.5
2017-12-31,CHUBUT,LANGUIÑEO,6650,103552,38645,40482,40508,229837,995400.0,19.57,59.32,60.93,403.0,12.77,9.97,2.7
2018-12-31,CHUBUT,LANGUIÑEO,6411,107526,43471,36192,20992,214592,995400.0,19.47,59.47,58.57,404.1,16.63,8.83,1.3
2019-12-31,CHUBUT,LANGUIÑEO,5879,102562,38569,39746,41717,228473,957930.3,20.58,59.18,58.8,285.0,16.5,9.3,2.23
2020-12-31,CHUBUT,LANGUIÑEO,3968,107651,42621,37285,40238,231763,959850.0,20.53,61.55,61.5,196.8,17.2,10.1,3.15
1985-12-31,CHUBUT,MIRABUENO,50,1419,563,690,912,3634,15600.0,19.26,60.46,57.6,208.6,20.9,14.3,6.4
1986-12-31,CHUBUT,MIRABUENO,53,1520,605,1045,680,3903,18167.0,19.86,61.52,58.1,130.3,20.5,12.9,5.8
1987-12-31,CHUBUT,MIRABUENO,67,1928,637,964,512,4108,11200.0,19.41,55.77,60.3,199.5,20.7,13.8,6.8
1988-12-31,CHUBUT,MIRABUENO,55,1560,575,1210,310,3710,13197.0,18.65,61.69,54.9,85.5,20.4,12.9,5.5
1989-12-31,CHUBUT,MIRABUENO,42,1210,457,1091,150,2950,12300.0,19.82,57.13,56.5,92.5,21.9,14.5,7.1
1990-12-31,CHUBUT,MIRABUENO,35,998,390,969,124,2516,13900.0,20.23,59.84,56.2,96.0,21.7,14.2,6.8
1991-12-31,CHUBUT,MIRABUENO,39,1122,407,995,60,2623,15800.0,20.47,60.56,60.3,240.0,20.6,13.2,5.8
1992-12-31,CHUBUT,MIRABUENO,39,1125,451,1225,70,2910,11600.0,19.8,54.04,62.2,335.2,19.9,14.4,4.7
1993-12-31,CHUBUT,MIRABUENO,43,1240,447,1090,65,2885,10306.0,19.3,58.81,58.1,155.7,21.0,14.8,5.5
1994-12-31,CHUBUT,MIRABUENO,32,925,428,1342,34,2761,9000.0,18.87,61.83,53.7,82.5,24.3,13.5,4.6
1995-12-31,CHUBUT,MIRABUENO,41,1159,361,239,527,2327,9931.0,18.61,64.37,18.5,267.8,22.0,11.9,2.6
1996-12-31,CHUBUT,MIRABUENO,30,849,354,643,410,2286,9730.0,18.51,60.43,42.6,59.8,22.9,13.9,5.3
1997-12-31,CHUBUT,MIRABUENO,27,768,319,426,520,2060,11763.0,19.66,56.21,56.3,278.6,20.0,13.0,6.4
1998-12-31,CHUBUT,MIRABUENO,39,1124,453,802,507,2925,12400.0,19.09,61.39,49.9,355.0,20.7,13.5,6.7
1999-12-31,CHUBUT,MIRABUENO,39,1124,484,966,507,3120,13700.0,19.54,53.18,55.1,302.4,19.3,12.4,5.6
2000-12-31,CHUBUT,MIRABUENO,57,1632,515,444,672,3320,17349.0,20.8,65.27,42.0,212.5,23.0,14.0,5.5
2001-12-31,CHUBUT,MIRABUENO,48,1378,544,1089,450,3509,13522.0,21.0,61.8,21.9,188.1,20.5,13.3,6.1
2002-12-31,CHUBUT,MIRABUENO,59,1688,561,488,824,3620,17358.0,20.93,61.65,56.4,218.0,19.5,12.7,6.4
2003-12-31,CHUBUT,MIRABUENO,68,1952,615,855,480,3970,11554.0,19.6,61.1,55.7,161.0,22.2,12.2,3.7
2004-12-31,CHUBUT,MIRABUENO,65,1860,580,423,816,3744,11267.0,19.2,57.5,58.2,143.9,22.4,12.9,4.9
2005-12-31,CHUBUT,MIRABUENO,108,3083,763,147,820,4921,15753.0,18.5,56.8,61.6,179.8,21.5,12.5,4.3
2006-12-31,CHUBUT,MIRABUENO,65,1850,582,702,555,3754,13785.0,19.3,57.8,51.5,200.5,21.1,13.4,6.0
2007-12-31,CHUBUT,MIRABUENO,64,1842,506,775,79,3266,10336.0,19.3,58.3,50.9,194.4,20.0,12.5,5.2
2008-12-31,CHUBUT,MIRABUENO,43,1232,351,136,500,2262,5245.0,20.36,58.9,54.3,163.3,21.1,13.4,5.8
2009-12-31,CHUBUT,MIRABUENO,39,1101,318,193,400,2051,8739.0,19.6,53.1,50.1,168.5,20.8,13.4,6.0
2010-12-31,CHUBUT,MIRABUENO,35,1009,363,855,79,2341,9164.0,18.78,56.7,50.5,184.0,20.6,13.1,5.7
2011-12-31,CHUBUT,MIRABUENO,34,970,275,192,300,1771,6516.0,18.5,55.0,50.6,130.7,21.3,13.8,6.3
2012-12-31,CHUBUT,MIRABUENO,31,896,283,186,432,1828,8376.0,20.2,53.9,50.4,171.8,20.9,13.5,6.1
2013-12-31,CHUBUT,MIRABUENO,32,923,325,234,582,2096,9892.0,20.3,53.9,56.3,197.6,20.7,13.6,6.8
2014-12-31,CHUBUT,MIRABUENO,63,1800,451,394,200,2908,10510.0,19.4,56.1,54.0,187.2,20.6,13.6,6.7
2015-12-31,CHUBUT,MIRABUENO,75,2130,654,159,1200,4218,10776.0,19.3,59.1,51.9,112.9,21.0,13.8,6.3
2016-12-31,CHUBUT,MIRABUENO,81,2311,683,134,1200,4409,10990.0,19.8,60.0,61.4,218.0,20.8,13.5,6.4
2017-12-31,CHUBUT,MIRABUENO,71,2032,701,264,1455,4523,11200.0,19.5,59.3,57.5,265.2,21.6,14.2,6.8
2018-12-31,CHUBUT,MIRABUENO,42,1200,478,543,820,3083,9193.0,19.8,61.3,55.8,93.2,21.6,13.8,6.0
2019-12-31,CHUBUT,MIRABUENO,103,2940,806,220,1129,5198,13027.0,19.8,56.9,55.8,170.7,21.4,13.6,5.8
2020-12-31,CHUBUT,MIRABUENO,71,2021,533,385,430,3440,12136.0,19.6,56.1,54.5,92.0,22.0,14.3,6.6
2005-12-31,CHUBUT,PASO DE INDIOS,8392,162714,48643,61045,30025,310819,1494080.0,19.31,54.22,47.2,104.4,16.3,10.1,3.4
2006-12-31,CHUBUT,PASO DE INDIOS,9010,174709,52229,65545,32239,333732,1416800.0,19.36,51.94,43.6,141.8,19.3,12.8,5.7
2007-12-31,CHUBUT,PASO DE INDIOS,9410,182455,54545,68451,33668,348529,1545600.0,18.75,53.66,44.6,79.4,18.4,11.8,4.4
2008-12-31,CHUBUT,PASO DE INDIOS,9253,153127,68968,65652,42389,339389,1391040.0,21.08,53.49,49.6,44.0,16.1,9.0,-0.6
2009-12-31,CHUBUT,PASO DE INDIOS,9665,161713,71004,70192,42575,355149,1102528.0,19.47,54.51,48.4,84.2,16.4,10.3,4.2
2012-12-31,CHUBUT,PASO DE INDIOS,8980,150846,37809,64028,32809,294472,895160.0,19.07,53.14,45.5,117.1,20.4,13.4,6.2
2013-12-31,CHUBUT,PASO DE INDIOS,8339,143441,36190,59153,28510,275633,855232.0,19.79,54.5,47.8,129.2,21.1,13.8,6.1
2014-12-31,CHUBUT,PASO DE INDIOS,8820,136765,38061,52569,29853,266068,895160.0,20.9,54.79,45.7,130.2,21.6,14.4,7.2
2015-12-31,CHUBUT,PASO DE INDIOS,9418,135182,40238,52997,25057,262892,927360.0,19.79,53.52,39.8,66.7,24.7,16.7,8.6
2016-12-31,CHUBUT,PASO DE INDIOS,9181,129835,43632,50592,26582,259822,901600.0,19.7,55.38,52.9,238.6,20.6,13.1,5.8
2017-12-31,CHUBUT,PASO DE INDIOS,7789,128838,43440,53838,30833,264738,901600.0,19.33,54.63,43.2,128.2,21.6,14.2,7.1
2018-12-31,CHUBUT,PASO DE INDIOS,8198,128880,47244,57146,32537,274005,901600.0,20.11,57.02,38.8,21.3,26.6,18.0,9.2
