anio,provincia,departamento,carneros,ovejas,borregos,capones,corderos_corderas,total_ovinos,kg_lana,finura,rinde,prom_humedad,total_lluvia,prom_t_max,prom_t_med,prom_t_min
2000-12-31,CHUBUT,BIEDMA,4627,88905,31529,41328,22410,188799,793900,20.39,59.21,51.55,231.24,21.89,16.4,9.2
2001-12-31,CHUBUT,BIEDMA,4933,94817,33626,44076,23900,201352,793900,19.01,59.03,55.7,331.87,21.22,13.77,9.34
2002-12-31,CHUBUT,BIEDMA,4506,86622,30720,40267,21835,183950,789230,20.53,57.17,65.37,28.61,22.58,15.3,10.22
2003-12-31,CHUBUT,BIEDMA,5148,98950,35092,45997,24942,210129,994710,20.57,58.14,60.17,217.48,19.59,10.28,10.13
2004-12-31,CHUBUT,BIEDMA,4764,91580,32478,42571,23085,194478,1022730,20.68,57.63,61.66,285.58,21.41,13.12,8.12
2005-12-31,CHUBUT,BIEDMA,5574,107128,37992,49799,27004,227497,1083440,18.5,59.49,59.39,185.56,19.1,12.3,8.52
2006-12-31,CHUBUT,BIEDMA,5214,100208,35538,46582,25259,212801,1027400,17.51,59.67,60.71,204.94,19.19,14.46,7.59
2007-12-31,CHUBUT,BIEDMA,5811,111681,39606,51915,28151,237164,1120800,18.95,57.14,60.23,76.32,18.11,13.12,9.37
2008-12-31,CHUBUT,BIEDMA,7686,121561,58576,69633,33876,291332,1008720,18.88,58.4,53.31,74.03,18.98,16.38,9.56
2009-12-31,CHUBUT,BIEDMA,7991,119248,55498,65328,23503,271568,799504,19.52,59.8,54.51,198.44,18.22,13.65,9.15
2010-12-31,CHUBUT,BIEDMA,6756,110469,38769,61853,23416,241263,799504,18.02,58.37,60.63,171.53,21.71,13.8,10.91
2011-12-31,CHUBUT,BIEDMA,6309,97816,36529,54338,21831,216823,788763,19.17,57.54,63.06,146.37,17.62,13.51,5.9
2012-12-31,CHUBUT,BIEDMA,5785,93378,30168,48447,16071,193849,649130,19.8,58.06,58.4,46.4,18.1,12.4,6.7
2013-12-31,CHUBUT,BIEDMA,5376,82998,25341,47350,26832,187897,620176,19.6,56.68,64.7,226.5,19.9,14.2,8.8
2014-12-31,CHUBUT,BIEDMA,4785,82706,29379,35155,29900,181925,649130,20.1,61.19,60.5,331.3,20.6,14.7,9.2
2015-12-31,CHUBUT,BIEDMA,4440,89262,29663,35437,32343,191145,672480,18.58,58.18,58.7,114.2,22.2,15.8,10.2
2016-12-31,CHUBUT,BIEDMA,4452,82295,33662,33470,21326,175205,653800,17.99,59.93,57.5,88.9,25.2,18.6,12.9
2017-12-31,CHUBUT,BIEDMA,4688,87179,33148,33947,20900,179862,653800,19.73,58.95,55.8,291.9,19.1,13.6,8.4
2018-12-31,CHUBUT,BIEDMA,4767,86473,36233,31347,22289,181109,653800,18.86,58.89,56.3,99,21,14.8,9.5
2019-12-31,CHUBUT,BIEDMA,4887,84400,31784,34032,23424,178527,629189.1,18.95,57.81,54.1,295.5,18.7,13.6,8.7
2020-12-31,CHUBUT,BIEDMA,3084,82806,29134,33727,25394,174145,630450,19.1,58.71,58.3,191.4,20.5,14.6,9.2
2021-12-31,CHUBUT,BIEDMA,5041,97321,33106,45060,24793,205321,801645,19.25,58.57,67.6,211.6,21.4,15.9,10.8
2000-12-31,CHUBUT,CUSHAMEN,5483,112188,32417,25337,34665,210089,892500,19.1,61.65,52.16,709.55,16.74,10.06,4.02
2001-12-31,CHUBUT,CUSHAMEN,5739,117421,33929,26519,36282,219890,892500,19.32,63.65,51.69,579.02,18.58,11.06,5.05
2002-12-31,CHUBUT,CUSHAMEN,5933,121381,35073,27413,37505,227305,887250,20.58,62.79,51.23,5740.27,13.76,14.79,3.79
2003-12-31,CHUBUT,CUSHAMEN,5774,118146,34139,26683,36506,221248,1118250,20.41,63.57,46.94,7146.86,23.38,8.76,3.2
2004-12-31,CHUBUT,CUSHAMEN,6386,130654,37753,29507,40371,244671,1149750,20.95,63.45,48.84,1831.14,18.69,8.72,2.72
2005-12-31,CHUBUT,CUSHAMEN,6484,132664,38334,29961,40992,248435,1218000,19.32,64.71,50.19,3431.43,18.31,9.02,4.05
2006-12-31,CHUBUT,CUSHAMEN,6906,141299,40828,31911,43659,264603,1155000,19.83,63.14,62,570.4,13.1,7.4,1.6
2007-12-31,CHUBUT,CUSHAMEN,6977,142754,41249,32240,44109,267329,1260000,20.49,62.35,59.8,475.2,14.3,8.1,1.5
2008-12-31,CHUBUT,CUSHAMEN,8180,149189,41669,51128,37589,287755,1134000,17.95,62.96,52.35,609,19.85,12.2,4.1
2009-12-31,CHUBUT,CUSHAMEN,7191,130124,30369,31453,44013,243150,898800,19.83,63.6,62.03,2810.6,16.27,9.57,3.5
2010-12-31,CHUBUT,CUSHAMEN,6649,128141,30782,31756,40774,238102,898800,20.36,64.07,61,3247.6,16.5,9.62,3.6
2011-12-31,CHUBUT,CUSHAMEN,6937,134263,36860,32524,39295,249879,886725,19.03,62.96,57.47,3243,17.14,10.22,4
2012-12-31,CHUBUT,CUSHAMEN,6758,126283,35504,27867,30258,226670,729750,18.61,62.22,61.43,7288.1,16,9.87,4.56
2013-12-31,CHUBUT,CUSHAMEN,12516,125655,31127,22615,33934,225847,697200,21,64.48,58.22,6156.7,18.9,11.88,5.49
2014-12-31,CHUBUT,CUSHAMEN,6525,120803,33531,29759,40184,230802,729750,20.48,63.3,59.1,5763.6,17.03,10.46,4.62
2015-12-31,CHUBUT,CUSHAMEN,5764,115205,30865,26410,36446,214690,756000,18.33,62.18,48.54,6809.1,18.92,11.99,5.68
2016-12-31,CHUBUT,CUSHAMEN,5920,113136,30649,28942,46037,224684,735000,19.86,63.67,60.15,2876.7,17.12,10.46,4.5
2017-12-31,CHUBUT,CUSHAMEN,5198,106723,31589,28842,46907,219259,735000,19.67,63.2,44.74,5804.2,16.5,9.93,4.2
2018-12-31,CHUBUT,CUSHAMEN,6510,114304,33488,29440,46476,230218,735000,18.59,62.6,59.36,2633.5,19.76,12.4,5.14
2019-12-31,CHUBUT,CUSHAMEN,8292,124242,32843,28734,43428,237539,707332.5,19.99,64.07,50.48,1328.5,17.4,10.72,3.7
