fecha,hectareas,departamento,carneros,ovejas,borregos,capones,cordero/as,total_ovinos,kilos_lana,finura,rinde,humedad,cant_lluvia,tem_max,temp_media,temp_min
1985-12-31,250,MIRABUENO,50,1419,563,690,912,3634,15600,19.26,60.46,57.6,208.6,20.9,14.3,6.4
1986-12-31,250,MIRABUENO,53,1520,605,1045,680,3903,18167,19.86,61.52,58.1,130.3,20.5,12.9,5.8
1987-12-31,250,MIRABUENO,67,1928,637,964,512,4108,11200,19.41,55.77,60.3,199.5,20.7,13.8,6.8
1988-12-31,250,MIRABUENO,55,1560,575,1210,310,3710,13197,18.65,61.69,54.9,85.5,20.4,12.9,5.5
1989-12-31,250,MIRABUENO,42,1210,457,1091,150,2950,12300,19.82,57.13,56.5,92.5,21.9,14.5,7.1
1990-12-31,250,MIRABUENO,35,998,390,969,124,2516,13900,20.23,59.84,56.2,96,21.7,14.2,6.8
1991-12-31,250,MIRABUENO,39,1122,407,995,60,2623,15800,20.47,60.56,60.3,240,20.6,13.2,5.8
1992-12-31,250,MIRABUENO,39,1125,451,1225,70,2910,11600,19.8,54.04,62.2,335.2,19.9,14.4,4.7
1993-12-31,250,MIRABUENO,43,1240,447,1090,65,2885,10306,19.3,58.81,58.1,155.7,21,14.8,5.5
1994-12-31,250,MIRABUENO,32,925,428,1342,34,2761,9000,18.87,61.83,53.7,82.5,24.3,13.5,4.6
1995-12-31,250,MIRABUENO,41,1159,361,239,527,2327,9931,18.61,64.37,18.5,267.8,22,11.9,2.6
1996-12-31,250,MIRABUENO,30,849,354,643,410,2286,9730,18.51,60.43,42.6,59.8,22.9,13.9,5.3
1997-12-31,250,MIRABUENO,27,768,319,426,520,2060,11763,19.66,56.21,56.3,278.6,20,13,6.4
1998-12-31,250,MIRABUENO,39,1124,453,802,507,2925,12400,19.09,61.39,49.9,355,20.7,13.5,6.7
1999-12-31,250,MIRABUENO,39,1124,484,966,507,3120,13700,19.54,53.18,55.1,302.4,19.3,12.4,5.6
2000-12-31,250,MIRABUENO,57,1632,515,444,672,3320,17349,20.8,65.27,42,212.5,23,14,5.5
2001-12-31,250,MIRABUENO,48,1378,544,1089,450,3509,13522,21,61.8,21.9,188.1,20.5,13.3,6.1
2002-12-31,250,MIRABUENO,59,1688,561,488,824,3620,17358,20.93,61.65,56.4,218,19.5,12.7,6.4
2003-12-31,250,MIRABUENO,68,1952,615,855,480,3970,11554,19.6,61.1,55.7,161,22.2,12.2,3.7
2004-12-31,250,MIRABUENO,65,1860,580,423,816,3744,11267,19.2,57.5,58.2,143.9,22.4,12.9,4.9
2005-12-31,250,MIRABUENO,108,3083,763,147,820,4921,15753,18.5,56.8,61.6,179.8,21.5,12.5,4.3
2006-12-31,250,MIRABUENO,65,1850,582,702,555,3754,13785,19.3,57.8,51.5,200.5,21.1,13.4,6
2007-12-31,250,MIRABUENO,64,1842,506,775,79,3266,10336,19.3,58.3,50.9,194.4,20,12.5,5.2
2008-12-31,250,MIRABUENO,43,1232,351,136,500,2262,5245,20.36,58.9,54.3,163.3,21.1,13.4,5.8
2009-12-31,250,MIRABUENO,39,1101,318,193,400,2051,8739,19.6,53.1,50.1,168.5,20.8,13.4,6
2010-12-31,250,MIRABUENO,35,1009,363,855,79,2341,9164,18.78,56.7,50.5,184,20.6,13.1,5.7
2011-12-31,250,MIRABUENO,34,970,275,192,300,1771,6516,18.5,55,50.6,130.7,21.3,13.8,6.3
2012-12-31,250,MIRABUENO,31,896,283,186,432,1828,8376,20.2,53.9,50.4,171.8,20.9,13.5,6.1
2013-12-31,250,MIRABUENO,32,923,325,234,582,2096,9892,20.3,53.9,56.3,197.6,20.7,13.6,6.8
2014-12-31,250,MIRABUENO,63,1800,451,394,200,2908,10510,19.4,56.1,54,187.2,20.6,13.6,6.7
2015-12-31,250,MIRABUENO,75,2130,654,159,1200,4218,10776,19.3,59.1,51.9,112.9,21,13.8,6.3
2016-12-31,250,MIRABUENO,81,2311,683,134,1200,4409,10990,19.8,60,61.4,218,20.8,13.5,6.4
2017-12-31,250,MIRABUENO,71,2032,701,264,1455,4523,11200,19.5,59.3,57.5,265.2,21.6,14.2,6.8
2018-12-31,250,MIRABUENO,42,1200,478,543,820,3083,9193,19.8,61.3,55.8,93.2,21.6,13.8,6
2019-12-31,250,MIRABUENO,103,2940,806,220,1129,5198,13027,19.8,56.9,55.8,170.7,21.4,13.6,5.8
2020-12-31,250,MIRABUENO,71,2021,533,385,430,3440,12136,19.6,56.1,54.5,92,22,14.3,6.6
