fecha,codigo_gps,coordenada_completa,longitug,latitud,fn_valor_pastoral
11/2015,CG T01,-68.7056907/-43.291952,-68.7056907,-43.291952,"3,60"
11/2016,CG T01,-68.7056907/-43.291952,-68.7056907,-43.291952,"15,00"
11/2015,CG T02,-68.6608421/-43.2535963,-68.6608421,-43.2535963,"0,60"
11/2016,CG T02,-68.6608421/-43.2535963,-68.6608421,-43.2535963,"15,40"
11/2015,CG T03,-68.616647/-43.2181445,-68.616647,-43.2181445,"1,60"
11/2016,CG T03,-68.616647/-43.2181445,-68.616647,-43.2181445,"23,80"
11/2015,CG T04,-68.6180901/-43.1667136,-68.6180901,-43.1667136,"8,00"
11/2016,CG T04,-68.6180901/-43.1667136,-68.6180901,-43.1667136,"7,20"
11/2015,CG T05,-68.6390379/-43.1237455,-68.6390379,-43.1237455,"4,40"
11/2016,CG T05,-68.6390379/-43.1237455,-68.6390379,-43.1237455,"24,60"
11/2015,CG T06,-68.577095/-43.0961252,-68.577095,-43.0961252,"5,80"
11/2016,CG T06,-68.577095/-43.0961252,-68.577095,-43.0961252,"13,60"
11/2015,CG T07,-68.548786/-43.0680802,-68.548786,-43.0680802,"0,40"
11/2016,CG T07,-68.548786/-43.0680802,-68.548786,-43.0680802,"12,80"
11/2015,CG T08,-68.5672935/-43.0167808,-68.5672935,-43.0167808,"2,00"
11/2016,CG T08,-68.5672935/-43.0167808,-68.5672935,-43.0167808,"20,60"
11/2015,CG T09,-68.5778347/-42.9668535,-68.5778347,-42.9668535,"3,80"
11/2016,CG T09,-68.5778347/-42.9668535,-68.5778347,-42.9668535,"14,00"
11/2015,CG T10,-68.6397752/-42.9387177,-68.6397752,-42.9387177,"1,80"
11/2016,CG T10,-68.6397752/-42.9387177,-68.6397752,-42.9387177,"13,40"
11/2015,CG T11,-68.6849698/-42.8909523,-68.6849698,-42.8909523,"1,40"
11/2016,CG T11,-68.6849698/-42.8909523,-68.6849698,-42.8909523,"9,80"
