feacha,codigo_gps,coordenada_completa,latitud,longitug,fn_valor_pastoral,dist_laguna_fría,distancia_telsen,dist_gastre,sonda_cercana,acum_anual,acum_verano
11/2015,CG T01,-68.7056907/-43.291952,-43.291952,-68.7056907,3.60,1.4376427,2.5976427,0.4776427,Gastre,119.8,13.7
11/2015,CG T02,-68.6608421/-43.2535963,-43.2535963,-68.6608421,0.60,1.3544384,2.5144384,0.3944384,Gastre,119.8,13.7
11/2015,CG T03,-68.616647/-43.2181445,-43.2181445,-68.616647,1.60,1.2747915,2.4347915,0.3147915,Gastre,119.8,13.7
11/2015,CG T04,-68.6180901/-43.1667136,-43.1667136,-68.6180901,8.00,1.2248037,2.3848037,0.2648037,Gastre,119.8,13.7
11/2015,CG T05,-68.6390379/-43.1237455,-43.1237455,-68.6390379,4.40,1.2027834,2.3627834,0.2427834,Gastre,119.8,13.7
11/2015,CG T06,-68.577095/-43.0961252,-43.0961252,-68.577095,5.80,1.1132202,2.2732202,0.1532202,Gastre,119.8,13.7
11/2015,CG T07,-68.548786/-43.0680802,-43.0680802,-68.548786,0.40,1.0568662,2.2168662,0.0968662,Gastre,119.8,13.7
11/2015,CG T08,-68.5672935/-43.0167808,-43.0167808,-68.5672935,2.00,1.0240743,2.1840743,0.0640743,Gastre,119.8,13.7
11/2015,CG T09,-68.5778347/-42.9668535,-42.9668535,-68.5778347,3.80,0.9846882,2.1446882,0.0246882,Gastre,119.8,13.7
11/2015,CG T10,-68.6397752/-42.9387177,-42.9387177,-68.6397752,1.80,1.0184929,2.1784929,0.0584929,Gastre,119.8,13.7
11/2015,CG T11,-68.6849698/-42.8909523,-42.8909523,-68.6849698,1.40,1.0159221,2.1759221,0.0559221,Gastre,119.8,13.7
11/2015,CG T12,-68.7178783/-42.8499863,-42.8499863,-68.7178783,1.60,1.0078646,2.1678646,0.0478646,Gastre,119.8,13.7
11/2015,CG T13,-68.7713861/-42.8063651,-42.8063651,-68.7713861,9.60,1.0177512,2.1777512,0.0577512,Gastre,119.8,13.7
11/2015,CG T14,-68.8190165/-42.7701521,-42.7701521,-68.8190165,0.40,1.0291686,2.1891686,0.0691686,Gastre,119.8,13.7
11/2015,CG T15,-68.8759848/-42.7523516,-42.7523516,-68.8759848,0.80,1.0683364,2.2283364,0.1083364,Gastre,119.8,13.7
11/2015,CG T16,-68.9284791/-42.7243003,-42.7243003,-68.9284791,0.80,1.0927794,2.2527794,0.1327794,Gastre,119.8,13.7
11/2015,CG T17,-68.9970344/-42.6950582,-42.6950582,-68.9970344,0.00,1.1320926,2.2920926,0.1720926,Gastre,119.8,13.7
