temperatura_minima,temperatura_media,temperatura_maxima,humedad,velocidad_viento,direccion_viento,velocidad_max_viento,barometro,mm_lluvia,radiacion_solar,eliminar,sonda,periodo
20.5,27.6,13.3,32.8,4.5,S,53.1,1007.3,0,,,10,2010-01-01
26.8,35.8,17.3,30.2,5.1,S,62.8,1006.4,0,,,10,2010-01-02
28.2,36.9,18.7,34,3.3,NW,43.5,1004.3,0,,,10,2010-01-03
27.7,35.3,20.3,27.8,2.6,SSE,41.8,1003.2,0,,,10,2010-01-04
18.9,22.8,14.3,31.2,6.6,SSE,64.4,1006.4,0,,,10,2010-01-05
19.5,27.3,11.9,28,3.5,SSE,49.9,1013,0,,,10,2010-01-06
21.7,30.1,12.2,26.3,3.2,SSE,49.9,1008.8,0,,,10,2010-01-07
21.6,29.2,15.5,27.2,7.1,SSE,62.8,1002.9,0,,,10,2010-01-08
20.1,28.8,13.3,32.8,6.2,W,64.4,1004.8,0.4,,,10,2010-01-09
20.8,30.3,11.1,26.2,3.7,W,48.3,1008.3,0,,,10,2010-01-10
19.7,27.1,10.8,36.1,8.4,WNW,74,998.8,0,,,10,2010-01-11
18,22.3,13.2,30,13.7,SSE,67.6,1004.3,0,,,10,2010-01-12
21.1,28,15.6,30.8,11.8,SSE,64.4,1007.5,0,,,10,2010-01-13
25.1,34.4,15.7,27.7,3.4,SSE,43.5,1012.4,0,,,10,2010-01-14
26.8,34.8,18.4,24.9,2.8,S,38.6,1010.3,0,,,10,2010-01-15
25.1,30.2,15.8,33.5,3.1,SSW,51.5,1004.7,0,,,10,2010-01-16
22.4,29.3,15.3,26.7,5.3,S,59.5,1007.3,0,,,10,2010-01-17
22,29.1,15,30.3,5.6,S,48.3,1007.8,0,,,10,2010-01-18
23,30.8,13.4,31.6,3.8,S,43.5,1009.1,0,,,10,2010-01-19
26.3,34.8,18.6,32.9,5.9,S,59.5,1006.2,0,,,10,2010-01-20
23.6,31.2,16.7,25.8,3.8,S,45.1,1012.8,0,,,10,2010-01-21
25,33.9,12.8,25.7,2.4,S,40.2,1011.8,0,,,10,2010-01-22
25.5,34.6,15.4,26.3,1.8,SSW,43.5,1012.1,0,,,10,2010-01-23
26.9,33.7,19.8,21.4,6.5,S,62.8,1011,0,,,10,2010-01-24
26,37.4,12.4,23,3.5,NW,38.6,1012.1,0,,,10,2010-01-25
24.8,32.1,17.8,31.9,3.4,SSE,46.7,1010.1,0,,,10,2010-01-26
24.5,34.8,13.4,35.9,2,WNW,40.2,1007.9,0,,,10,2010-01-27
27.2,34.1,17.9,25.3,5.4,W,61.2,998.5,0,,,10,2010-01-28
17,22.1,12.9,31.2,5.6,S,64.4,1005.1,0,,,10,2010-01-29
16.2,23.7,7.1,25.8,2,S,33.8,1018,0,,,10,2010-01-30
22.3,30.7,13.7,24.5,4.9,WNW,48.3,1009.8,0,,,10,2010-01-31
21.1,24.3,16.1,26.4,2.6,S,41.8,1004.6,0,,,10,2010-02-01
19.8,27.8,10.1,35.1,5,NW,53.1,1001.2,0,,,10,2010-02-02
17.6,20.9,14.3,31,9,NW,75.6,998.8,0,,,10,2010-02-03
12.8,14.3,11.2,34,2.8,WNW,46.7,1004.5,0,,,10,2010-02-04
19.5,22.8,15.2,26.5,3.9,SSE,51.5,1014,0,,,10,2010-02-05
15.5,23.3,10.3,40.3,1.3,S,35.4,1017.3,0,,,10,2010-02-06
14.4,23.8,8.9,46.3,1.2,NW,33.8,1021.3,0,,,10,2010-02-07
12.1,13.4,10.6,68.4,3.2,NW,38.6,1019.9,0,,,10,2010-02-08
18.8,26.4,12.8,69.8,2.7,NW,35.4,1006.1,15.2,,,10,2010-02-09
19.7,27.8,12.9,49.1,2.9,WNW,43.5,1004.8,0.2,,,10,2010-02-10
18.4,26.1,11.1,47.4,2,S,49.9,1010.5,0,,,10,2010-02-11
18.2,27.4,10.8,54.5,0.7,NW,30.6,1018.2,0,,,10,2010-02-12
17.2,22.8,14.5,79.5,2.9,NW,45.1,1015.8,44.6,,,10,2010-02-13
18,24.2,12.9,54.3,1.7,S,38.6,1009.4,0,,,10,2010-02-14
16.1,22.4,10.6,39.5,2.6,SSE,53.1,1017.5,0,,,10,2010-02-15
16.6,25.9,8.4,45.6,0.8,SSE,29,1025,0,,,10,2010-02-16
20.9,33.3,8.7,46.1,0.6,WNW,33.8,1016.1,0,,,10,2010-02-17
23,33.3,12.2,39.3,1.6,SSE,37,1012.4,0,,,10,2010-02-18
20.8,28.6,12.3,43.7,2.3,NW,35.4,1020.3,0,,,10,2010-02-19
24.9,37.4,12.4,40.8,0.8,SSW,40.2,1012,0,,,10,2010-02-20
20.9,26.6,15.4,40.7,1.4,SSE,35.4,1013.9,0,,,10,2010-03-01
21.4,29.5,15.5,60.1,1.7,NW,46.7,1012.8,0,,,10,2010-03-02
21.4,26.2,16.1,47.9,1.1,S,35.4,1018.4,0,,,10,2010-03-03
18.1,26.1,12.9,70.4,1.3,NW,27.4,1021.1,0,,,10,2010-03-04
19.8,25.8,16.1,71.8,3.2,NW,32.2,1017.7,1.2,,,10,2010-03-05
21.5,31.3,15.9,67.2,1.6,NW,30.6,1013.8,0,,,10,2010-03-06
24.2,34,17.7,57.2,1.9,NW,32.2,1006.7,4.6,,,10,2010-03-07
19.5,23.3,14.1,37.9,0.7,S,27.4,1017.4,0,,,10,2010-03-08
19,27.3,10.9,50.4,0.4,NW,17.7,1017.1,0,,,10,2010-03-09
18.3,25.1,11.5,43.4,1.6,SSE,43.5,1015.4,0,,,10,2010-03-10
16.2,24.8,8.6,51.4,1.4,NW,37,1016.7,0,,,10,2010-03-11
17.7,25.6,7.4,40.5,1.4,S,51.5,1007.3,0,,,10,2010-03-12
19.2,23.3,13.6,27.6,12.2,SSE,74,995.4,0,,,10,2010-03-13
13.5,17.9,9.7,33.3,6.5,SSE,54.7,1008.9,0,,,10,2010-03-14
15,22.7,9.6,43.7,2.2,S,37,1015.6,0,,,10,2010-03-15
18.9,31.4,7.3,47.9,1.7,WNW,46.7,1009.3,0,,,10,2010-03-16
22.2,30.1,15,42.5,1,S,32.2,1006.6,0,,,10,2010-03-17
19.7,26.7,14.6,65.3,0.7,S,32.2,1011.2,1,,,10,2010-03-18
16.8,23.6,10.9,67.9,1,S,40.2,1018.2,0,,,10,2010-03-19
19.3,27.7,12.9,56.1,0.8,NW,32.2,1010,0,,,10,2010-03-20
19.1,24.9,12.1,40.1,2.9,S,51.5,1000.8,0,,,10,2010-03-21
18,22.6,13.7,34.7,3.2,S,51.5,999.5,0,,,10,2010-03-22
17.4,22.1,10.7,38.9,6,SSE,66,1003,0,,,10,2010-03-23
15.8,26.1,6.5,38.5,3,NW,41.8,1017.5,0,,,10,2010-03-24
19.6,31.7,8.7,43.2,0.5,NW,25.7,1012.4,0,,,10,2010-03-25
20.9,30.1,13.2,48,0.6,SSW,35.4,1011.7,0,,,10,2010-03-26
19.9,27.9,12.3,42,0.5,S,25.7,1021,0,,,10,2010-03-27
19,29.1,10.6,47.3,0.8,S,25.7,1015.1,0,,,10,2010-03-28
15.4,22.9,9.2,59.1,1.3,NW,29,1018.6,0,,,10,2010-03-29
18.1,27.3,11.9,59.1,2,NNW,24.1,1014.1,0,,,10,2010-03-30
17.9,25.9,13.5,61.8,1.7,S,56.3,1002.6,0.2,,,10,2010-03-31
16.5,23.6,10.6,41.8,4.4,S,69.2,1006.9,0,,,10,2010-04-01
12.9,19.6,8.7,38,5.5,S,64.4,1014.6,0,,,10,2010-04-02
10.5,16.8,4.7,49.2,1,S,30.6,1030.2,0,,,10,2010-04-03
