id;periodo;temperatura_minima;temperatura_media;temperatura_maxima;humedad;velocidad_viento;velocidad_max_viento;barometro;mm_lluvia;radiacion_solar;sonda;direccion_viento
456201;2010-01-01;20.3;26.1;13.1;29.8;12.4;40.2;1005.8;0.3;333.1;115;NE
456202;2010-01-02;25.9;34.6;14.2;29.3;8.4;40.2;1005.2;0.0;281.5;115;E
456203;2010-01-03;25.2;33.1;16.4;40.3;8.8;45.1;1003.5;0.0;333.7;115;N
456204;2010-01-04;25.1;33.8;16.4;35.0;5.8;43.5;1002.3;0.0;343.8;115;NNE
456205;2010-01-05;17.7;21.3;13.7;36.3;11.8;48.3;1004.9;0.0;190.8;115;N
456206;2010-01-06;17.9;24.9;11.9;31.1;10.6;43.5;1011.4;0.0;362.8;115;E
456207;2010-01-07;20.1;29.1;7.5;29.3;6.2;35.4;1007.0;0.0;336.6;115;NNE
456208;2010-01-08;20.6;27.7;12.7;27.3;9.3;49.9;1001.6;0.0;151.1;115;E
456209;2010-01-09;19.5;28.0;9.5;33.8;9.8;67.6;1003.5;0.0;285.2;115;NE
456210;2010-01-10;19.4;29.1;9.3;28.4;8.2;32.2;1006.9;0.0;354.5;115;E
456211;2010-01-11;19.0;27.3;9.0;40.1;;;997.0;0.0;263.5;115;
456212;2010-01-12;17.9;22.0;13.5;26.4;;;1002.5;0.0;284.7;115;
456213;2010-01-13;20.8;26.7;15.3;27.9;;;1005.5;0.0;315.8;115;
456214;2010-01-14;23.8;33.0;15.0;26.9;;;1010.8;0.0;324.7;115;
456215;2010-01-15;24.2;34.1;12.1;26.8;;;1009.0;0.0;308.3;115;
456216;2010-01-16;24.9;30.4;16.1;31.1;;;1003.2;0.0;209.8;115;
456217;2010-01-17;22.0;28.0;15.6;23.8;;;1005.7;0.0;341.8;115;
456218;2010-01-18;21.6;28.2;13.9;28.3;;;1006.2;0.0;345.4;115;
456219;2010-01-19;22.1;29.3;9.7;31.2;;;1007.6;0.0;332.6;115;
456220;2010-01-20;25.3;33.7;15.4;33.0;;;1004.7;0.0;311.3;115;
456221;2010-01-21;21.6;29.4;16.4;28.7;;;1012.0;0.0;343.6;115;
456222;2010-01-22;22.3;32.6;11.2;33.6;;;1010.5;0.0;316.8;115;
456223;2010-01-23;23.4;32.9;13.8;31.7;;;1010.5;0.0;321.6;115;
456224;2010-01-24;24.1;32.4;14.2;24.8;;;1010.2;0.0;320.7;115;
456225;2010-01-25;24.1;36.4;11.3;30.8;;;1010.6;0.0;331.8;115;
456226;2010-01-26;22.7;29.8;15.6;37.7;;;1009.3;0.0;281.3;115;
456227;2010-01-27;22.6;32.8;12.2;42.0;;;1006.1;0.0;291.0;115;
456228;2010-01-28;24.5;33.5;15.0;31.2;;;997.4;0.0;284.3;115;
456229;2010-01-29;16.1;22.3;11.9;34.3;;;1003.7;0.0;186.8;115;
456230;2010-01-30;14.6;21.9;4.0;27.8;;;1016.3;0.0;323.8;115;
456231;2010-01-31;21.8;29.8;12.4;31.4;;;1007.8;0.0;312.8;115;
456232;2010-02-01;19.9;24.8;13.7;30.3;;;1003.0;0.0;225.7;115;
456233;2010-02-02;17.6;23.9;8.0;45.5;;;999.6;0.0;310.3;115;
456234;2010-02-03;17.3;20.6;13.9;29.2;;;997.5;0.0;290.2;115;
456235;2010-02-04;17.5;25.3;7.5;30.2;;;1000.5;0.0;145.6;115;
456236;2010-02-05;21.6;29.2;12.0;36.3;;;1000.6;0.0;284.8;115;
456237;2010-02-06;21.8;29.8;9.2;40.2;;;996.0;0.0;245.1;115;
456238;2010-02-07;20.8;25.1;17.3;28.3;;;1000.6;0.0;258.5;115;
456239;2010-02-08;21.9;28.0;13.7;33.8;;;1000.0;0.0;181.3;115;
456240;2010-02-09;20.0;26.6;15.0;30.3;;;993.3;0.0;203.3;115;
456241;2010-02-10;17.9;25.1;12.0;23.8;;;1004.5;0.0;291.8;115;
456242;2010-02-11;17.9;25.6;13.0;37.1;;;1011.0;0.0;248.3;115;
456243;2010-02-12;21.4;29.3;12.3;49.9;;;1007.6;0.0;210.9;115;
456244;2010-02-13;17.1;21.7;11.7;40.0;;;1010.1;0.0;285.8;115;
456245;2010-02-14;13.3;21.3;5.9;50.7;;;1015.5;0.0;253.1;115;
456246;2010-02-15;12.2;19.4;6.4;53.7;;;1019.5;0.0;175.7;115;
456247;2010-02-16;11.2;13.2;9.4;76.7;;;1018.1;0.5;50.3;115;
456248;2010-02-17;17.9;25.0;11.7;78.8;;;1004.6;18.8;154.5;115;
